Stress,Ref
3.277870131445834168e-01,2.774797622657058926e-02
2.729178932871764163e-01,2.552024687424173099e-02
2.325670600659386356e-01,2.375357940194820078e-02
1.969384741148826334e-01,2.218824643763128365e-02
1.694651115869473812e-01,2.059485088635836653e-02
1.466694794202415275e-01,1.934104185699823605e-02
1.284412374003351398e-01,1.824875811559871150e-02
1.138167486609446416e-01,1.726708363975360677e-02
9.830989865377483261e-02,1.639110077480991287e-02
8.946917102042240000e-02,1.558668176639727183e-02
7.918938771913840158e-02,1.488558857650892908e-02
6.956426547736803412e-02,1.421476204636771407e-02
6.384885407162664561e-02,1.360305307281392193e-02
5.648652775377642488e-02,1.302875443953712374e-02
5.226595272064624847e-02,1.250002619482626018e-02
4.695040982930685086e-02,1.204331185254344135e-02
4.286346797155460991e-02,1.159181154329295277e-02
4.014268747569219725e-02,1.117705368843619450e-02
3.621809648713373436e-02,1.078796777729341960e-02
3.360705795545974178e-02,1.043584982320156819e-02
3.132069799815966754e-02,1.011813869613717443e-02
2.937931771752400403e-02,9.790419065119414926e-03
2.733612363394273895e-02,9.492474857781613845e-03
2.532021804934932174e-02,9.211651237141975715e-03
2.398057730610437047e-02,8.956480038018970954e-03
2.220051633469168062e-02,8.710154568771595260e-03
2.094117004881542593e-02,8.466416205045809371e-03
1.956935417705453137e-02,8.243415332233942211e-03
1.015323049719410520e+01,9.817472923219980885e-01
4.254254629183524372e+00,3.272490974406655484e-01
1.909412580678205407e+00,1.663516245323383158e-01
1.967347942766357383e+00,1.292926121584772603e-01
2.034481049799451213e+00,9.731927909068083249e-02
1.691157885753871604e+00,7.617720825505035209e-02
1.276225898894309374e+00,6.119937179628837098e-02
9.258858713888754588e-01,5.184423099246850131e-02
6.462735523983875741e-01,4.540616557185721269e-02
4.803641641151031316e-01,4.016340388463341543e-02
3.485654937746327509e-01,3.590206288375442228e-02
2.496251042916387830e-01,3.222652723813673736e-02
1.844301967466072389e-01,2.948774537397962428e-02
1.423779045752378569e-01,2.667431601586898321e-02
9.813911634917062143e-02,2.472922410090445944e-02
8.127484847656143985e-02,2.289498877364956608e-02
6.195350649353192907e-02,2.139406927766974303e-02
4.858370507499428642e-02,2.009371445245883986e-02
4.055438285210343635e-02,1.887651976934420078e-02
2.943115854117103400e-02,1.784278508791063353e-02
2.539933334702283718e-02,1.685393948344734646e-02
1.985703316007508476e-02,1.604504358367657424e-02
1.745651330805991427e-02,1.524840060176096967e-02
1.234673122491419632e-02,1.455872425641531638e-02
8.748166862386740072e-03,1.391842222088117594e-02
7.725279061171696007e-03,1.334328444899291616e-02
5.279953709396216673e-03,1.281038845262530944e-02
6.532162729002304047e-03,1.227687280548876540e-02
3.403268948012227405e-03,1.181551618588064061e-02
3.456280104106435654e-03,1.138851557663226634e-02
1.838424332015167273e-03,1.100518646510498764e-02
1.999591420000724085e-03,1.063879370080117633e-02
1.823330553469100371e-03,1.028516368452166325e-02
8.628410941917840802e-04,9.961537892184891413e-03
8.599917069987532154e-04,9.664021857460942597e-03
8.427215603701523504e-04,9.362242534016001344e-03
-6.739347868685839106e-05,9.100177463763629154e-03
2.345588640787418799e-04,8.841237044025101327e-03
-1.574107180933330863e-04,8.601896063438375581e-03
-1.362225468043342042e-04,8.373825353450121273e-03
1.015323049719406789e+01,9.817472923219945358e-01
nan,nan
2.361887635868257895e+00,2.515727436575114773e-01
2.638129234613590945e+00,1.641699638827337770e-01
2.886200821989857168e+00,1.169989561607717582e-01
2.167360300378408766e+00,8.560735044674519512e-02
1.424995395585161972e+00,7.084685923161092302e-02
7.449305610921170828e-01,5.841371333072744448e-02
3.698366872332696231e-01,5.002994853525742636e-02
1.373920510846514120e-01,4.295959634940796357e-02
5.829255447800826828e-02,3.785164043224928387e-02
-3.422467763142770375e-02,3.426274937714099411e-02
-5.033851229041031577e-02,3.079843470671285444e-02
-7.884642346782885780e-02,2.819784371312762661e-02
-7.667682368859821129e-02,2.574403442978871401e-02
-7.994921731538867649e-02,2.394823831520586158e-02
-7.391511090124268379e-02,2.224168719917192158e-02
-7.569075274344126691e-02,2.081893802879611344e-02
-6.838599656509998514e-02,1.948522112353098454e-02
-6.560966334728061955e-02,1.840382863289933418e-02
-6.105042754674106648e-02,1.734915814447604565e-02
-5.589039281242708102e-02,1.642252915760982271e-02
-5.333493696099579628e-02,1.562979904270741030e-02
-4.822766593822787329e-02,1.488474303833453929e-02
-4.668321118850139728e-02,1.425032070196737173e-02
-4.270446899649929517e-02,1.361887022792888750e-02
-4.076039752175817515e-02,1.307024958213480470e-02
-3.632772186681609838e-02,1.255011718781812169e-02
-3.584732140485170221e-02,1.208926654374205094e-02
-3.274171325799989096e-02,1.162424800450505627e-02
-3.118405262365524580e-02,1.121460189522271306e-02
-2.922978057307531324e-02,1.081207844504016025e-02
-2.672999314973494023e-02,1.045280048948963973e-02
-2.608637346534819351e-02,1.012788023535587771e-02
-2.397626941173565049e-02,9.806748674357115836e-03
-2.333190599452739447e-02,9.515426766177337292e-03
-2.136166276349628704e-02,9.234127343430530502e-03
-2.100168124883224074e-02,8.981313295589987700e-03
-1.912308987260805115e-02,8.730407140558152715e-03
-1.895162247457871443e-02,8.497043193200161729e-03
7.891039298861130646e+00,9.817472923219967562e-01
4.352183921592645888e+00,5.317797833410817798e-01
1.760211535927570514e+00,3.388391696416891974e-01
3.743768126490163439e+00,1.878807664508197750e-01
4.981803003841049460e+00,1.432215407639972904e-01
2.968111680140632203e+00,1.000920255013549170e-01
1.149975300845898385e+00,7.901909121576403128e-02
1.079949837727479378e-01,6.290595722106702425e-02
-2.577933399384868540e-01,5.394524228046868042e-02
-3.218118492242015849e-01,4.599686618635205615e-02
-3.539717529890653580e-01,4.029580520445719127e-02
-3.167262139149051303e-01,3.577418982093170247e-02
-2.998900502411967484e-01,3.232880517526372233e-02
-2.574315169739018749e-01,2.941963017231273916e-02
-2.282977733753296379e-01,2.677176793337679439e-02
-2.036365268290239172e-01,2.474321268601297613e-02
-1.804144727258979730e-01,2.292529724877786709e-02
-1.620204265820326117e-01,2.143536474047807658e-02
-1.432246433824160281e-01,2.007283858997373563e-02
-1.289198094945688822e-01,1.888464478654042211e-02
