MAS,Ref
4.708399145644170392e-01,3.020753599830049499e-02
3.852452869548038117e-01,2.742607874063169443e-02
3.199483746074500146e-01,2.507836419979196999e-02
2.671474847789976348e-01,2.318815547301848398e-02
2.282986493959900387e-01,2.169486763848257546e-02
1.936931775404732992e-01,2.034194290004721212e-02
1.671948931607536992e-01,1.900398037299967993e-02
1.449324219610795550e-01,1.790767381837356231e-02
1.271283031130999441e-01,1.696479658052189171e-02
1.128072515063414938e-01,1.610899864804742412e-02
9.749772120815086707e-02,1.532003951166619610e-02
8.884818640560997183e-02,1.462469340777422695e-02
7.868434567455413753e-02,1.399316246606700266e-02
6.915410212980209470e-02,1.338555826273708088e-02
6.352279419740607114e-02,1.284637692676680182e-02
5.621721370376130816e-02,1.232150737297588346e-02
5.204881665124250212e-02,1.185104432522002607e-02
4.676742304232126696e-02,1.143204896007877711e-02
4.271202007963874336e-02,1.102191750355679782e-02
4.001849416415723115e-02,1.065040756874916991e-02
3.611220951932828799e-02,1.028993077800496175e-02
3.351732011702094477e-02,9.968274194009880268e-03
3.124419905914521331e-02,9.678339222533558633e-03
2.931522494054311992e-02,9.379676099768266551e-03
2.728097313829887585e-02,9.104563269490687991e-03
2.527270975512811366e-02,8.843976812214968813e-03
2.393957322794441206e-02,8.609678280405349063e-03
2.216467932909004304e-02,8.379679044587530837e-03
2.091021607339760974e-02,8.154015125741230496e-03
1.954212931771814876e-02,7.945536941686072441e-03
6.628757717758134715e-01,inf
2.435567770157025524e+00,2.265570674589223454e-01
1.381134362679738770e+00,1.193866899599713011e-01
1.677408514924902061e+00,9.193689925458789491e-02
1.772457606215172010e+00,7.078591687486648909e-02
1.483089309861024274e+00,5.794424223868267776e-02
1.070253914469022405e+00,4.713939248980434510e-02
7.871527071426235311e-01,4.118230492382534552e-02
5.471163122926385736e-01,3.661240518314327896e-02
4.183341181482934656e-01,3.312770882507937859e-02
3.079674764947488708e-01,3.006764198805745789e-02
2.233922325011560572e-01,2.734790410577604344e-02
1.666601931604666798e-01,2.529145951709855719e-02
1.309696889830668787e-01,2.317408427370953525e-02
9.009186071990718525e-02,2.161254051883703189e-02
7.571173114909809931e-02,2.020452959702327689e-02
5.796116437048866310e-02,1.900388146301729836e-02
4.567053006437893359e-02,1.795822290114782241e-02
3.842156489387324458e-02,1.697867396668755954e-02
2.782741941040204128e-02,1.611494937965309016e-02
2.419220586130376924e-02,1.530478296244542312e-02
1.892399849942770843e-02,1.462691652236266203e-02
