MAS,Ref
-2.975222222222221810e-02,8.998215659056202353e-03
-2.922440277777777276e-02,9.791140791062793655e-03
-2.535456944444444694e-02,1.062324938479967083e-02
-1.670517361111111335e-02,1.147668384193126744e-02
-2.043754166666666636e-03,1.232540647144782404e-02
1.896536805555555302e-02,1.313485934354888945e-02
4.483520833333333455e-02,1.386321210923454825e-02
7.147687499999999527e-02,1.446478319470117894e-02
9.227659722222222860e-02,1.489569687002179933e-02
9.969173611111108169e-02,1.512092625755140883e-02
8.822986111111109919e-02,1.512092625755140883e-02
5.741937500000000860e-02,1.489569687002179933e-02
1.277717222222222310e-02,1.446478319470117721e-02
-3.616383333333333949e-02,1.386321210923454825e-02
-7.965027777777777818e-02,1.313485934354888598e-02
-1.110355555555555956e-01,1.232540647144782057e-02
-1.280543055555555254e-01,1.147668384193126397e-02
-1.320781944444444078e-01,1.062324938479967257e-02
-1.264302777777777942e-01,9.791140791062793655e-03
-1.148232638888889018e-01,8.998215659056202353e-03
-1.004095138888888850e-01,8.255378334803574469e-03
-8.543409722222221336e-02,7.568122653661623137e-03
-7.127263888888889232e-02,6.938027696585145725e-03
-5.862840277777777581e-02,6.364027567641490635e-03
-4.775298611111111063e-02,5.843401040523341430e-03
-3.863229166666666548e-02,5.372495834734905031e-03
-3.111326388888889516e-02,4.947231743197311703e-03
-2.498529166666666607e-02,4.563433297334409250e-03
-2.002932638888888991e-02,4.217037989381481125e-03
-1.638636666666666575e-02,3.933535405181853503e-03
-5.469409722222221860e-03,4.079413364176312853e-03
-6.904229166666665286e-03,4.422170949645662028e-03
-8.671020833333334399e-03,4.804614046379896038e-03
-1.083316666666666629e-02,5.231952071048961636e-03
-1.345511111111111213e-02,5.709938542749516677e-03
-1.659229166666666838e-02,6.244800599654340076e-03
-2.027187499999999823e-02,6.843072147589385548e-03
-2.445927777777777423e-02,7.511275885722422906e-03
-2.900284722222221806e-02,8.255378334803576204e-03
-3.354923611111110954e-02,9.079919787492363517e-03
-3.742625000000000812e-02,9.986706216815896542e-03
-3.950381944444444904e-02,1.097296081854091943e-02
-3.807812500000000433e-02,1.202890165132494693e-02
-3.089372222222221825e-02,1.313488595558934963e-02
-1.550369673611111040e-02,1.425858713688126639e-02
9.788902569444443355e-03,1.535314286204669983e-02
4.430979166666667440e-02,1.635768878376819141e-02
8.316486111111111301e-02,1.720180811402105894e-02
1.164838888888888729e-01,1.781467283995000206e-02
1.314963888888888988e-01,1.813777638690838162e-02
1.179097916666666662e-01,1.813777638690838162e-02
7.405041666666664635e-02,1.781467283995000553e-02
9.212579305555558540e-03,1.720180811402105894e-02
-6.023277777777780173e-02,1.635768878376818794e-02
