Stress,Ref
-6.351069444444443039e-03,4.013916032314862777e-03
-5.645499999999999477e-03,4.217037989381481992e-03
-4.504020833333334702e-03,4.422170949645662028e-03
-2.850804166666667198e-03,4.626774638334408066e-03
-6.308528333333332169e-04,4.827809029248267617e-03
2.170987569444444813e-03,5.021761528701534395e-03
5.507701388888888369e-03,5.204719117802709440e-03
9.248201388888885668e-03,5.372492529993202516e-03
1.316146527777778234e-02,5.520794153642426781e-03
1.691454861111111804e-02,5.645463429497589274e-03
2.009234027777777667e-02,5.742724015803460369e-03
2.224318749999999734e-02,5.809447807169404801e-03
2.294743055555555772e-02,5.843394531912084709e-03
2.189849999999999783e-02,5.849663410839528802e-03
1.897540972222221817e-02,5.849663410839528802e-03
1.428676388888888704e-02,5.843394531912083842e-03
8.168770833333335174e-03,5.809447807169406536e-03
1.135538222222222350e-03,5.742724015803460369e-03
-6.206993055555557609e-03,5.645463429497591008e-03
-1.325989583333333707e-02,5.520794153642425046e-03
-1.951813194444444385e-02,5.372492529993202516e-03
-2.462754861111110527e-02,5.204719117802710307e-03
-2.840436111111110246e-02,5.021761528701534395e-03
-3.082250000000000267e-02,4.827809029248267617e-03
-3.197951388888888025e-02,4.626774638334406331e-03
-3.205229166666666990e-02,4.422170949645662028e-03
-3.125930555555556795e-02,4.217037989381481125e-03
-2.982312500000000241e-02,4.013916032314862777e-03
-2.795013888888888548e-02,3.814853548619013927e-03
-2.581691666666667204e-02,3.621439880994871841e-03
-2.356596527777778116e-02,3.434853159664375769e-03
-2.130440972222222631e-02,3.255915664213660920e-03
-1.910940277777777724e-02,3.085150793893394212e-03
-1.723079166666667203e-02,2.938528116208588472e-03
-6.056423611111110515e-03,3.085150793893394212e-03
-6.616361111111111054e-03,3.266551297779088196e-03
-7.144291666666666846e-03,3.458612858844669225e-03
-7.600687500000000672e-03,3.661216590207741744e-03
-7.932222222222222452e-03,3.873968165684024429e-03
-8.069743055555553962e-03,4.096123712924321265e-03
-7.927222222222222656e-03,4.326508573458300554e-03
-7.402791666666666895e-03,4.563433297334409250e-03
-6.383381944444444130e-03,4.804614046379896038e-03
-4.754374999999999921e-03,5.047107867544409904e-03
-2.416617986111110981e-03,5.287276627517197534e-03
6.889513888888886863e-04,5.520795973730204323e-03
4.549213194444443921e-03,5.742726340660319478e-03
9.043548611111109845e-03,5.947660379991573376e-03
1.391322222222222092e-02,6.129954068912052238e-03
1.874733333333333460e-02,6.284036762502170567e-03
2.299947916666666634e-02,6.404779722891703296e-03
2.604531250000000422e-02,6.487886193805349373e-03
2.727953472222222758e-02,6.530253469536459812e-03
2.624107638888888150e-02,6.538084015270079902e-03
2.272829861111111405e-02,6.538084015270079902e-03
1.687363888888888941e-02,6.530253469536460680e-03
9.145083333333334924e-03,6.487886193805349373e-03
2.690387777777780362e-04,6.404779722891703296e-03
-8.904763888888887410e-03,6.284036762502169700e-03
-1.755595138888888657e-02,6.129954068912052238e-03
-2.502197916666667327e-02,5.947660379991571641e-03
-3.087395833333334005e-02,5.742726340660319478e-03
-3.493201388888890480e-02,5.520795973730204323e-03
-3.723270833333333640e-02,5.287276627517198402e-03
-3.796937499999999965e-02,5.047107867544410771e-03
-3.742305555555556357e-02,4.804614046379896038e-03
-3.590694444444444966e-02,4.563433297334409250e-03
-3.371999999999999997e-02,4.326508573458301421e-03
-3.112388888888889538e-02,4.096123712924320398e-03
-2.833034722222221510e-02,3.873968165684024429e-03
-2.550022916666667278e-02,3.661216590207743045e-03
-2.274636111111111650e-02,3.458612858844669225e-03
-2.014409722222222296e-02,3.266551297779088630e-03
-1.796458333333333240e-02,3.102617914357057305e-03
-6.439159722222219384e-03,3.255915664213660920e-03
-7.155340277777777827e-03,3.458612858844669225e-03
-7.871798611111110663e-03,3.674670383201620281e-03
-8.550104166666665922e-03,3.904217869254828898e-03
-9.135020833333331799e-03,4.147084763491208290e-03
-9.550645833333334597e-03,4.402702105045729584e-03
-9.697013888888892166e-03,4.669989553750863130e-03
-9.448631944444445263e-03,4.947231743197309968e-03
-8.656597222222221777e-03,5.231952071048961636e-03
-7.157347222222222062e-03,5.520797271978266328e-03
-4.790615972222220936e-03,5.809452117488900225e-03
-1.430204722222222155e-03,6.092609289931723293e-03
2.972052499999999070e-03,6.364023035316473606e-03
8.331923611111109393e-03,6.616674061173371396e-03
1.437804861111110881e-02,6.843064610021024410e-03
2.061479166666666321e-02,7.035644985288879751e-03
2.632650694444444231e-02,7.187346830417882734e-03
3.064590277777777885e-02,7.292168743077648806e-03
