lat,lon,mag,depth
2.412199999999999989e+01,1.209479999999999933e+02,4.299999999999999822e+00,2.550000000000000000e+01
2.374900000000000233e+01,1.211170000000000044e+02,4.000000000000000000e+00,5.500000000000000000e+01
2.350600000000000023e+01,1.206490000000000009e+02,3.799999999999999822e+00,4.050000000000000000e+01
2.392099999999999937e+01,1.210859999999999985e+02,3.799999999999999822e+00,5.679999999999999716e+01
2.377899999999999991e+01,1.214270000000000067e+02,4.900000000000000355e+00,2.610000000000000142e+01
2.365800000000000125e+01,1.214739999999999895e+02,4.700000000000000178e+00,3.670000000000000284e+01
2.371000000000000085e+01,1.210270000000000010e+02,3.799999999999999822e+00,3.300000000000000000e+01
2.360300000000000153e+01,1.210010000000000048e+02,3.799999999999999822e+00,5.529999999999999716e+01
2.379699999999999704e+01,1.213720000000000141e+02,4.200000000000000178e+00,5.000000000000000000e+00
2.391499999999999915e+01,1.212479999999999905e+02,3.600000000000000089e+00,8.059999999999999432e+01
2.383199999999999719e+01,1.210979999999999990e+02,3.899999999999999911e+00,3.300000000000000000e+01
2.365099999999999980e+01,1.208589999999999947e+02,4.400000000000000355e+00,1.100000000000000000e+01
2.378000000000000114e+01,1.209290000000000020e+02,4.500000000000000000e+00,4.139999999999999858e+01
2.401099999999999923e+01,1.209909999999999997e+02,4.299999999999999822e+00,3.610000000000000142e+01
2.406599999999999895e+01,1.208220000000000027e+02,4.200000000000000178e+00,5.000000000000000000e+00
2.343199999999999861e+01,1.206400000000000006e+02,4.400000000000000355e+00,3.710000000000000142e+01
2.341199999999999903e+01,1.209220000000000113e+02,3.700000000000000178e+00,3.300000000000000000e+01
2.350400000000000134e+01,1.208560000000000088e+02,6.400000000000000355e+00,1.000000000000000000e+00
2.356400000000000006e+01,1.209539999999999935e+02,5.099999999999999645e+00,5.450000000000000000e+01
2.329800000000000182e+01,1.206389999999999958e+02,4.400000000000000355e+00,3.300000000000000000e+01
2.402599999999999980e+01,1.210729999999999933e+02,3.799999999999999822e+00,1.000000000000000000e+02
2.354500000000000171e+01,1.207829999999999870e+02,4.400000000000000355e+00,4.799999999999999822e+00
2.393400000000000105e+01,1.210559999999999974e+02,4.099999999999999645e+00,5.000000000000000000e+00
2.334800000000000253e+01,1.208079999999999927e+02,3.899999999999999911e+00,1.002999999999999972e+02
2.395599999999999952e+01,1.204089999999999918e+02,4.000000000000000000e+00,3.300000000000000000e+01
2.404300000000000281e+01,1.213429999999999893e+02,3.899999999999999911e+00,9.170000000000000284e+01
2.402199999999999847e+01,1.209129999999999967e+02,4.000000000000000000e+00,3.300000000000000000e+01
2.401000000000000156e+01,1.210000000000000000e+02,4.299999999999999822e+00,3.799999999999999822e+00
2.410000000000000142e+01,1.210610000000000070e+02,4.000000000000000000e+00,1.760000000000000142e+01
2.317999999999999972e+01,1.206679999999999922e+02,4.099999999999999645e+00,3.300000000000000000e+01
2.346699999999999875e+01,1.208129999999999882e+02,4.700000000000000178e+00,3.000000000000000000e+00
2.382099999999999795e+01,1.207779999999999916e+02,3.899999999999999911e+00,3.300000000000000000e+01
2.380199999999999960e+01,1.209229999999999876e+02,3.600000000000000089e+00,2.431999999999999886e+02
2.387099999999999866e+01,1.214820000000000135e+02,4.200000000000000178e+00,7.000000000000000000e+00
2.373600000000000065e+01,1.215720000000000027e+02,4.000000000000000000e+00,1.950000000000000000e+01
2.380300000000000082e+01,1.210979999999999990e+02,4.799999999999999822e+00,4.960000000000000142e+01
2.422400000000000020e+01,1.211510000000000105e+02,4.099999999999999645e+00,1.390000000000000036e+01
2.322100000000000009e+01,1.206529999999999916e+02,4.000000000000000000e+00,8.190000000000000568e+01
2.365900000000000247e+01,1.208110000000000070e+02,4.299999999999999822e+00,2.889999999999999858e+01
2.395100000000000051e+01,1.215339999999999918e+02,3.700000000000000178e+00,1.535000000000000000e+02
2.379699999999999704e+01,1.209699999999999989e+02,4.200000000000000178e+00,5.000000000000000000e+00
2.366699999999999804e+01,1.207800000000000011e+02,4.299999999999999822e+00,5.000000000000000000e+00
2.377100000000000080e+01,1.210460000000000065e+02,4.000000000000000000e+00,3.300000000000000000e+01
2.414499999999999957e+01,1.208850000000000051e+02,4.200000000000000178e+00,5.000000000000000000e+00
2.410399999999999920e+01,1.217439999999999998e+02,4.500000000000000000e+00,2.130000000000000071e+01
2.369000000000000128e+01,1.207779999999999916e+02,3.899999999999999911e+00,3.300000000000000000e+01
2.392000000000000171e+01,1.208850000000000051e+02,4.099999999999999645e+00,1.800000000000000000e+01
2.401800000000000068e+01,1.216959999999999980e+02,3.899999999999999911e+00,6.110000000000000142e+01
2.380300000000000082e+01,1.212470000000000141e+02,4.000000000000000000e+00,4.079999999999999716e+01
2.420199999999999818e+01,1.212560000000000002e+02,4.000000000000000000e+00,5.679999999999999716e+01
2.345199999999999818e+01,1.210450000000000017e+02,4.000000000000000000e+00,6.389999999999999858e+01
2.425000000000000000e+01,1.209000000000000057e+02,3.899999999999999911e+00,5.000000000000000000e+00
2.417199999999999704e+01,1.210029999999999859e+02,3.899999999999999911e+00,3.300000000000000000e+01
2.374699999999999989e+01,1.213779999999999859e+02,4.400000000000000355e+00,3.520000000000000284e+01
2.414600000000000080e+01,1.211079999999999899e+02,4.099999999999999645e+00,5.000000000000000000e+00
2.407000000000000028e+01,1.209920000000000044e+02,4.200000000000000178e+00,7.700000000000000178e+00
2.360599999999999810e+01,1.207939999999999969e+02,4.000000000000000000e+00,4.339999999999999858e+01
2.387999999999999901e+01,1.215270000000000010e+02,3.500000000000000000e+00,1.728000000000000114e+02
2.326099999999999923e+01,1.204170000000000016e+02,3.899999999999999911e+00,3.300000000000000000e+01
2.367000000000000171e+01,1.207989999999999924e+02,4.099999999999999645e+00,3.300000000000000000e+01
2.308999999999999986e+01,1.209699999999999989e+02,4.000000000000000000e+00,5.000000000000000000e+00
